"","MONTH","WKDY_IM","HOUR_IM","REL_ROAD","LGTCON_IM","WEATHR_IM","VTRAFWAY","VSURCOND","VTRAFCON","SPEEDREL","PCRASH1_IM","PBSEX","PBCWALK","PBSWALK","PEDPOS","MOTMAN","PEDCGP","MDRDSTRD","DRIMPAIR","MVISOBSC","MTM_CRSH","NMIMPAIR","MPR_ACT","INJ_SEV","PBAGE","BDYcats","SPcats","LIMcats"
"92","wint","sun","nightLate","onRoad","darkLgt","cloud","nonTraffic","unk","none","no","1","male","0","0","shoulder","unk","400","yes","no","no","0","tempImpair","5","TRUE","16_30","auto","unk","none"
"93","wint","fri","aftern","onRoad","darkLgt","fog","nonTraffic","unk","physSign","no","11","female","0","0","lane","unk","790","yes","yes","yes","19","notImpair","3","FALSE","46_60","utility","unk","none"
"94","wint","fri","aftern","onRoad","darkLgt","fog","nonTraffic","unk","physSign","no","11","female","0","0","lane","unk","790","yes","yes","yes","19","notImpair","3","FALSE","46_60","utility","unk","none"
"95","wint","wkday","aftern","onRoad","day","cloud","oneWay","unk","none","no","4","male","0","0","lane","unk","990","yes","no","yes","4","tempImpair","12","FALSE","16_30","lightTruck","unk","25"
"96","wint","wkday","aftern","onRoad","day","cloud","oneWay","unk","none","no","4","male","0","0","lane","unk","990","yes","no","yes","4","tempImpair","8","FALSE","16_30","lightTruck","unk","25"
"97","wint","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","male","0","0","lane","straight","740","yes","no","yes","1","notImpair","3","FALSE","0_15","utility","unk","25"
"98","wint","wkday","nightEarly","onRoad","darkNotLgt","clear","twoWayNoDivide","dry","none","no","1","male","0","0","lane","unk","750","yes","no","no","12","notImpair","3","TRUE","16_30","utility","unk","50"
"99","wint","fri","nightEarly","onRoad","darkLgt","clear","twoWayDivide","dry","lightSignal","no","1","female","1","1","inters","straight","740","no","no","no","11","notImpair","3","TRUE","16_30","auto","unk","35"
"100","wint","fri","nightEarly","onRoad","darkLgt","clear","twoWayDivide","dry","lightSignal","no","1","female","1","1","inters","straight","740","no","no","no","3","notImpair","3","TRUE","16_30","auto","unk","35"
"101","wint","fri","nightEarly","onRoad","darkLgt","clear","twoWayDivide","dry","lightSignal","no","1","female","1","1","inters","straight","740","no","no","no","2","notImpair","3","TRUE","16_30","auto","unk","35"
"103","wint","wkday","aftern","onRoad","day","clear","twoWayDivide","dry","lightSignal","unk","1","male","0","0","inters","straight","990","yes","no","yes","12","notImpair","2","FALSE","31_45","auto","unk","30"
"104","spring","wkday","aftern","onRoad","day","fog","twoWayNoDivide","dry","none","no","1","female","0","0","lane","straight","990","yes","no","yes","4","notImpair","12","TRUE","16_30","heavyTruck","unk","50"
"105","spring","wkday","aftern","onRoad","day","fog","twoWayNoDivide","dry","none","no","1","female","0","0","lane","straight","990","yes","no","yes","5","notImpair","12","TRUE","16_30","heavyTruck","unk","50"
"106","spring","wkday","aftern","onRoad","day","fog","twoWayNoDivide","dry","none","no","1","female","0","0","lane","straight","990","yes","no","yes","4","notImpair","11","TRUE","16_30","heavyTruck","unk","50"
"107","spring","wkday","aftern","onRoad","day","fog","twoWayNoDivide","dry","none","no","1","female","0","0","lane","straight","990","yes","no","yes","5","notImpair","11","TRUE","16_30","heavyTruck","unk","50"
"108","wint","sat","morn","onRoad","day","clear","twoWayNoDivide","dry","lightSignal","no","11","male","1","0","crossWalk","left","790","yes","no","no","0","notImpair","3","FALSE","61_75","lightTruck","unk","35"
"109","spring","wkday","nightEarly","onRoad","darkNotLgt","clear","twoWayDivide","dry","none","no","15","male","0","0","lane","unk","990","no","no","no","0","tempImpair","3","FALSE","16_30","auto","unk","45"
"111","wint","sat","nightEarly","onRoad","day","clear","twoWayNoDivide","dry","none","unk","11","male","0","0","inters","left","790","yes","no","yes","0","notImpair","3","FALSE","0_15","utility","30_35","35"
"112","wint","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","male","1","0","crossWalk","straight","750","no","no","no","0","notImpair","3","FALSE","0_15","utility","unk","30"
"113","wint","wkday","morn","onRoad","day","cloud","twoWayNoDivide","dry","none","no","13","female","0","0","lane","unk","200","yes","no","no","4","notImpair","14","TRUE","75plus","auto","unk","30"
"114","wint","wkday","morn","onRoad","day","cloud","twoWayNoDivide","dry","none","no","13","female","0","0","lane","unk","200","yes","no","no","4","notImpair","14","TRUE","75plus","auto","unk","30"
"116","wint","wkday","morn","onRoad","day","rain","twoWayNoDivide","wet","none","no","1","female","1","1","crossWalk","straight","750","no","no","no","0","notImpair","1","TRUE","0_15","auto","20_25","25"
"117","wint","wkday","morn","onRoad","day","rain","twoWayNoDivide","wet","none","no","1","female","1","1","crossWalk","straight","750","no","no","no","0","notImpair","3","TRUE","0_15","auto","20_25","25"
"118","wint","wkday","nightEarly","offRoad","darkLgt","clear","twoWayDivide","dry","none","no","1","female","0","1","shoulder","unk","400","yes","yes","no","0","notImpair","9","FALSE","46_60","auto","unk","40"
"119","wint","wkday","aftern","onRoad","day","rain","twoWayDivide","wet","lightSignal","no","11","female","1","0","crossWalk","left","790","no","no","no","0","notImpair","3","FALSE","16_30","auto","unk","35"
"121","wint","sat","morn","onRoad","day","clear","twoWayNoDivide","dry","physSign","no","1","female","1","1","crossWalk","straight","750","no","no","yes","0","notImpair","3","FALSE","75plus","auto","unk","25"
"122","wint","fri","morn","offRoad","day","cloud","twoWayDivide","dry","none","no","5","female","0","0","shoulder","unk","990","no","no","no","6","notImpair","12","FALSE","16_30","otherTruck","0_5","25"
"123","spring","sun","nightEarly","onRoad","darkLgt","rain","twoWayNoDivide","wet","lightSignal","unk","10","male","1","0","crossWalk","right","790","yes","no","yes","0","notImpair","3","FALSE","0_15","utility","unk","45"
"124","wint","wkday","aftern","onRoad","dawnDusk","rain","oneWay","wet","lightSignal","unk","11","male","1","0","crossWalk","left","790","yes","no","yes","0","notImpair","3","TRUE","46_60","utility","unk","25"
"126","wint","wkday","morn","onRoad","day","clear","twoWayDivide","dry","lightSignal","no","1","male","1","1","crossWalk","straight","750","yes","no","yes","0","notImpair","3","FALSE","0_15","auto","unk","25"
"127","wint","sat","nightLate","onRoad","darkLgt","rain","twoWayDivide","wet","lightSignal","no","11","male","1","0","crossWalk","left","790","yes","no","yes","0","notImpair","3","FALSE","46_60","auto","unk","25"
"128","spring","wkday","aftern","onRoad","day","clear","oneWay","dry","lightSignal","no","11","female","1","0","crossWalk","left","790","yes","no","yes","0","notImpair","3","FALSE","75plus","auto","unk","25"
"129","wint","wkday","aftern","onRoad","day","cloud","oneWay","wetOther","none","no","1","female","0","0","lane","unk","750","no","no","no","6","notImpair","3","TRUE","31_45","auto","10_15","25"
"130","spring","wkday","aftern","onRoad","day","cloud","oneWay","dry","none","no","4","female","0","0","lane","unk","350","yes","no","no","5","notImpair","11","FALSE","16_30","auto","unk","15"
"131","wint","wkday","morn","onRoad","day","clear","unk","dry","none","no","1","male","0","0","lane","unk","750","no","no","no","2","notImpair","3","FALSE","16_30","vanLight","15_20","25"
"133","wint","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","physSign","no","1","male","1","0","crossWalk","unk","750","yes","no","no","0","notImpair","3","FALSE","16_30","auto","unk","30"
"134","wint","sun","nightEarly","onRoad","darkLgt","clear","twoWayNoDivide","dry","none","no","1","female","0","0","lane","unk","740","no","no","yes","1","notImpair","3","FALSE","16_30","auto","20_25","25"
"136","wint","fri","nightEarly","onRoad","darkLgt","clear","twoWayNoDivide","dry","lightSignal","no","11","male","1","0","crossWalk","left","790","no","no","no","0","notImpair","3","FALSE","31_45","auto","unk","35"
"137","wint","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","male","0","0","lane","unk","750","no","yes","no","12","tempImpair","3","FALSE","61_75","lightTruck","unk","25"
"138","wint","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","lightSignal","no","1","male","1","1","crossWalk","straight","750","no","no","no","0","notImpair","3","FALSE","31_45","lightTruck","unk","40"
"139","wint","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","male","0","1","lane","unk","740","no","no","yes","1","notImpair","3","FALSE","0_15","vanLight","15_20","25"
"142","wint","sun","aftern","offRoad","day","cloud","twoWayNoDivide","dry","none","no","8","male","0","0","shoulder","unk","750","no","no","no","2","notImpair","99","TRUE","0_15","auto","unk","30"
"143","wint","wkday","nightEarly","onRoad","darkNotLgt","clear","twoWayDivide","dry","none","no","1","female","0","0","lane","unk","740","no","no","no","11","tempImpair","3","TRUE","46_60","auto","unk","35"
"144","wint","wkday","nightLate","onRoad","darkNotLgt","clear","twoWayNoDivide","dry","none","unk","11","male","0","0","inters","left","990","yes","no","yes","0","notImpair","16","FALSE","31_45","auto","unk","35"
"145","spring","sun","nightEarly","onRoad","darkLgt","rain","twoWayNoDivide","wet","none","unk","10","male","1","0","crossWalk","right","790","yes","no","yes","0","notImpair","3","FALSE","31_45","auto","unk","25"
"146","wint","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","lightSignal","no","10","male","1","0","crossWalk","right","790","yes","no","no","0","notImpair","3","FALSE","0_15","vanLight","unk","30"
"147","spring","sun","morn","onRoad","darkNotLgt","clear","twoWayDivide","dry","none","no","1","female","0","0","lane","unk","400","no","no","no","19","notImpair","5","TRUE","31_45","auto","55_200","65"
"148","wint","wkday","morn","onRoad","day","cloud","nonTraffic","unk","none","no","13","female","0","0","lane","unk","200","no","no","no","2","notImpair","3","FALSE","46_60","auto","unk","none"
"149","wint","wkday","morn","onRoad","day","clear","twoWayDivide","dry","none","no","15","male","0","0","unk","unk","990","no","no","no","0","notImpair","9","FALSE","46_60","auto","40_55","65"
"150","wint","fri","nightEarly","onRoad","darkUnkLgt","clear","twoWayNoDivide","dry","none","no","1","female","0","1","lane","unk","990","yes","no","yes","0","notImpair","8","TRUE","0_15","auto","unk","30"
"151","wint","wkday","aftern","onRoad","day","clear","twoWayNoDivide","wetOther","physSign","no","1","male","0","0","crossWalk","straight","750","no","no","yes","0","notImpair","3","FALSE","46_60","utility","0_5","25"
"153","spring","wkday","nightEarly","onRoad","darkNotLgt","clear","twoWayNoDivide","dry","none","no","15","male","0","0","lane","unk","750","no","no","no","12","notImpair","3","TRUE","46_60","auto","unk","35"
"157","spring","wkday","aftern","onRoad","day","clear","twoWayDivide","dry","none","no","1","male","0","0","crossWalk","straight","740","no","no","no","11","notImpair","3","FALSE","0_15","lightTruck","unk","45"
"158","spring","wkday","aftern","onRoad","day","clear","twoWayDivide","dry","none","no","1","male","0","0","crossWalk","straight","740","no","no","no","12","notImpair","3","FALSE","0_15","lightTruck","unk","45"
"159","spring","wkday","nightEarly","onRoad","darkLgt","rain","unk","wet","none","no","11","female","0","0","crossWalk","left","790","no","no","no","0","notImpair","3","FALSE","46_60","utility","unk","15"
"165","wint","wkday","aftern","onRoad","day","clear","oneWay","wet","none","no","1","male","0","0","lane","unk","750","no","no","no","12","notImpair","3","FALSE","16_30","auto","unk","25"
"166","wint","fri","aftern","onRoad","day","cloud","nonTraffic","unk","none","unk","unk","female","0","0","shoulder","unk","990","no","no","no","0","notImpair","12","TRUE","46_60","utility","0_5","none"
"168","wint","wkday","morn","onRoad","day","clear","unk","dry","lightSignal","no","1","female","1","0","crossWalk","straight","750","no","no","no","2","notImpair","3","FALSE","46_60","lightTruck","20_25","30"
"170","spring","wkday","morn","onRoad","dawnDusk","clear","twoWayNoDivide","dry","unk","unk","11","female","0","0","crossWalk","left","790","yes","no","yes","0","notImpair","3","FALSE","16_30","vanLight","unk","25"
